27     14     2      TOK_ASSIGN                :=                                                
27     17     1      TOK_IDENTIFIER            i                                                 
27     19     1      TOK_PLUS                  +                                                 
27     21     1      TOK_INTEGERCONSTANT       1                                                 
27     22     1      TOK_SEMICOLON             ;                                                 
28     12     1      TOK_IDENTIFIER            k                                                 
28     14     2      TOK_ASSIGN                :=                                                
28     17     1      TOK_IDENTIFIER            k                                                 
28     19     1      TOK_PLUS                  +                                                 
28     21     1      TOK_INTEGERCONSTANT       1                                                 
29     8      1      TOK_RCURLY                }                                                 
29     9      1      TOK_SEMICOLON             ;                                                 
31     8      5      TOK_WHILE                 while                                             
31     14     1      TOK_LPAREN                (                                                 
31     15     1      TOK_IDENTIFIER            j                                                 
31     17     2      TOK_LESSEQ                <=                                                
31     20     3      TOK_IDENTIFIER            end                                               
31     23     1      TOK_RPAREN                )                                                 
32     8      1      TOK_LCURLY                {                                                 
33     12     3      TOK_IDENTIFIER            aux                                               
33     15     1      TOK_LSQUARE               [                                                 
33     16     1      TOK_IDENTIFIER            k                                                 
33     17     1      TOK_RSQUARE               ]                                                 
33     19     2      TOK_ASSIGN                :=                                                
33     22     1      TOK_IDENTIFIER            v                                                 
33     23     1      TOK_LSQUARE               [                                                 
33     24     1      TOK_IDENTIFIER            j                                                 
33     25     1      TOK_RSQUARE               ]                                                 
33     26     1      TOK_SEMICOLON             ;                                                 
34     12     1      TOK_IDENTIFIER            j                                                 
34     14     2      TOK_ASSIGN                :=                                                
34     17     1      TOK_IDENTIFIER            j                                                 
34     19     1      TOK_PLUS                  +                                                 
34     21     1      TOK_INTEGERCONSTANT       1                                                 
34     22     1      TOK_SEMICOLON             ;                                                 
35     12     1      TOK_IDENTIFIER            k                                                 
35     14     2      TOK_ASSIGN                :=                                                
35     17     1      TOK_IDENTIFIER            k                                                 
35     19     1      TOK_PLUS                  +                                                 
35     21     1      TOK_INTEGERCONSTANT       1                                                 
36     8      1      TOK_RCURLY                }                                                 
36     9      1      TOK_SEMICOLON             ;                                                 
38     8      3      TOK_FOR                   for                                               
38     11     1      TOK_LPAREN                (                                                 
38     12     1      TOK_IDENTIFIER            k                                                 
38     14     1      TOK_EQUALS                =                                                 
38     16     5      TOK_IDENTIFIER            begin                                             
38     21     1      TOK_SEMICOLON             ;                                                 
38     23     1      TOK_IDENTIFIER            k                                                 
38     25     2      TOK_LESSEQ                <=                                                
38     28     3      TOK_IDENTIFIER            end                                               
38     31     1      TOK_SEMICOLON             ;                                                 
38     33     1      TOK_IDENTIFIER            k                                                 
38     34     1      TOK_PLUS                  +                                                 
38     35     1      TOK_PLUS                  +                                                 
38     36     1      TOK_RPAREN                )                                                 
39     8      1      TOK_LCURLY                {                                                 
40     12     3      TOK_IDENTIFIER            aux                                               
40     15     1      TOK_LSQUARE               [                                                 
40     16     1      TOK_IDENTIFIER            k                                                 
40     17     1      TOK_RSQUARE               ]                                                 
40     19     2      TOK_ASSIGN                :=                                                
40     22     1      TOK_IDENTIFIER            v                                                 
40     23     1      TOK_LSQUARE               [                                                 
40     24     1      TOK_IDENTIFIER            k                                                 
40     25     1      TOK_RSQUARE               ]                                                 
41     8      1      TOK_RCURLY                }                                                 
42     1      1      TOK_RCURLY                }                                                 
43     4      6      TOK_METHOD                method                                            
43     11     4      TOK_VOID                  void                                              
43     16     9      TOK_IDENTIFIER            mergeSort                                         
43     25     1      TOK_LPAREN                (                                                 
43     26     3      TOK_INT                   int                                               
43     29     1      TOK_LSQUARE               [                                                 
43     30     1      TOK_RSQUARE               ]                                                 
43     32     1      TOK_IDENTIFIER            v                                                 
43     33     1      TOK_SEMICOLON             ;                                                 
43     35     3      TOK_INT                   int                                               
43     39     5      TOK_IDENTIFIER            begin                                             
43     44     1      TOK_SEMICOLON             ;                                                 
43     46     3      TOK_INT                   int                                               
43     50     3      TOK_IDENTIFIER            end                                               
43     53     1      TOK_RPAREN                )                                                 
44     2      12     TOK_DECLARATIONS          declarations                                      
45     12     3      TOK_INT                   int                                               
45     16     6      TOK_IDENTIFIER            middle                                            
45     22     1      TOK_SEMICOLON             ;                                                 
46     2      15     TOK_ENDDECLARATIONS       enddeclarations                                   
47     4      1      TOK_LCURLY                {                                                 
48     8      2      TOK_IF                    if                                                
48     10     1      TOK_LPAREN                (                                                 
48     11     5      TOK_IDENTIFIER            begin                                             
48     17     1      TOK_LESS                  <                                                 
48     19     3      TOK_IDENTIFIER            end                                               
48     22     1      TOK_RPAREN                )                                                 
49     8      1      TOK_LCURLY                {                                                 
50     12     6      TOK_IDENTIFIER            middle                                            
50     19     2      TOK_ASSIGN                :=                                                
50     22     1      TOK_LPAREN                (                                                 
50     23     3      TOK_IDENTIFIER            end                                               
50     27     1      TOK_PLUS                  +                                                 
50     29     5      TOK_IDENTIFIER            begin                                             
50     34     1      TOK_RPAREN                )                                                 
50     35     1      TOK_SLASH                 /                                                 
50     36     1      TOK_INTEGERCONSTANT       2                                                 
50     37     1      TOK_SEMICOLON             ;                                                 
51     12     9      TOK_IDENTIFIER            mergeSort                                         
51     21     1      TOK_LPAREN                (                                                 
51     22     1      TOK_IDENTIFIER            v                                                 
51     23     1      TOK_COMMA                 ,                                                 
51     25     5      TOK_IDENTIFIER            begin                                             
51     30     1      TOK_COMMA                 ,                                                 
51     32     6      TOK_IDENTIFIER            middle                                            
51     38     1      TOK_RPAREN                )                                                 
51     39     1      TOK_SEMICOLON             ;                                                 
